Matching Entries:
bevakUPI: ladak/I__n
bevaPAI: ladak/I__n
bewAbI: ladak/I__n
bexarxI: ladak/I__n
BexavAxI: ajAwI/__adj
BEyAxUja: rAw/a__n
bIbI: ladak/I__n
biCada: uT/a__v
biCA: KA/__v
BIca: uT/a__v
bicakA: KA/__v
bicaka: uT/a__v
bicalA: KA/__v
bicara: uT/a__v
biCavA: KA/__v
biCuda: uT/a__v
bIdI: ladak/I__n
bigAda: uT/a__v
bigada: uT/a__v
BigA: KA/__v
BIga: uT/a__v
Bigo: so/__v
bI: ladak/I__n
bijalI: ladak/I__n
BijavA: KA/__v
biKara: uT/a__v
BiKArina: rAw/a__n
bikavA: KA/__v
biKera: uT/a__v
BikRukI: ladak/I__n
BikRuNI: ladak/I__n
bilabilA: KA/__v
bilagA: KA/__v
bilanI: ladak/I__n
BIlanI: ladak/I__n
bilAsinI: ladak/I__n
bilata: uT/a__v
billI: ladak/I__n
bImArI: ladak/I__n
BiMdI: ladak/I__n
biMxI: ladak/I__n
biMxu: qwu/__n
BinaBinA: KA/__v
binAI: ladak/I__n
binavA: KA/__v
binawI: ladak/I__n
BInI: ajAwI/__adj
Binnavqwwi: Apawwi/__n
bipaxA: ASA/__n
BIRaNawA: ASA/__n
bisAra: uT/a__v
bisAwa: rAw/a__n
biTA: KA/__v
biwA: KA/__v
bIwa: uT/a__v
BIwarI: ajAwI/__adj
Biwwi: Apawwi/__n
BIwwi: Apawwi/__n
bixakA: KA/__v
bixaka: uT/a__v
bixala: uT/a__v
bixAra: uT/a__v
boA: KA/__v
bOCAda: rAw/a__n
bOCAra: rAw/a__n
BogA: KA/__v
BogalipsA: ASA/__n
Bogaxeha: rAw/a__n
bogI: ladak/I__n
BogyaBUmi: SAnwi/__n
bo: so/__v
BOjAI: ladak/I__n
BojanArWI: ajAwI/__adj
BojanaSAlA: ASA/__n
BojapurI: ajAwI/__adj
BOjI: ladak/I__n
bOKalA: KA/__v
bolavA: KA/__v
bolI: ladak/I__n
BOMha: rAw/a__n
BoMka: uT/a__v
BOMka: uT/a__v
BOMrI: ladak/I__n
bOrA: KA/__v
borI: ladak/I__n
bota: rAw/a__n
botI: ladak/I__n
bowala: rAw/a__n
boXanI: ladak/I__n
boXI: ajAwI/__adj
Bozka: uT/a__v
bqhawkIrwi: SAnwi/__n
Bqkuti: Apawwi/__n
Bqwyavqwwi: SAnwi/__n
brahmacAriNI: ladak/I__n
brahmaGAwI: ajAwI/__adj
brahmaGAwinI: ladak/I__n
brahmagAzTa: rAw/a__n
brahmajFAnI: ajAwI/__adj
brAhmaNaxveRI: ajAwI/__adj
brAhmaNI: ladak/I__n
brahmapariRax: BARAvix/__n
brahmapurI: ladak/I__n
brahmapuwrI: ladak/I__n
brahmasaBA: ASA/__n
brahmavAxI: ajAwI/__adj
brahmavqwwi: SAnwi/__n
brAhmI: ladak/I__n
BramaNakArI: ajAwI/__adj
brAMdI: ladak/I__n
BraMSI: ajAwI/__adj
BrAMwi: Apawwi/__n
BraRtaSrI: ajAwI/__adj
BrAwuRpuwrI: ladak/I__n
briwAnI: ladak/I__n
BrU: bah/U__n
buAI: ladak/I__n
buDA: KA/__v
bUDZI: ladak/I__n
BugawA: KA/__v
buhAra: uT/a__v
buJA: KA/__v
bUJa: uT/a__v
BujAlI: ladak/I__n
BujaMgI: ladak/I__n
BujaMginI: ladak/I__n
BUka: uT/a__v
bulAhata: rAw/a__n
bulA: KA/__v
BulA: KA/__v
bulAkI: ladak/I__n
bulavA: KA/__v
BulavA: KA/__v
BunaBunA: KA/__v
BunA: KA/__v
BUna: uT/a__v
bunavA: KA/__v
buniyAxa: rAw/a__n
buniyAxI: ajAwI/__adj
burAIBalAI: ladak/I__n
burAI: ladak/I__n
burI: ladak/I__n
burIKabara: rAw/a__n
burIlawa: rAw/a__n
BUSAyI: ajAwI/__adj
BUSuxXi: SAnwi/__n
bUtI: ladak/I__n
buwA: KA/__v
BUwinI: ladak/I__n
buxabuxA: KA/__v
buxXi: Apawwi/__n
buxXiSAlI: ajAwI/__adj
buxXivAxI: ajAwI/__adj
BUyasI: ajAwI/__adj
BUzja: uT/a__v
BUzka: uT/a__v
bUzxa: rAw/a__n
bUzxI: ladak/I__n
byAha: uT/a__v
cabA: KA/__v
cAbI: ladak/I__n
cABI: ladak/I__n
cAbuka: rAw/a__n
cAcI: ladak/I__n
CaCUzxara: rAw/a__n
caDA: KA/__v
Cada: rAw/a__n
caDavA: KA/__v
CadI: ladak/I__n
cAha: uT/a__v
cahaka: uT/a__v
CA: KA/__v
cakacAla: rAw/a__n
caKA: KA/__v
CakA: KA/__v
cakallasa: rAw/a__n
cakarA: KA/__v
cakkI: ladak/I__n
cakrapANi: SAnwi/__n
cakravqxXi: SAnwi/__n
cAlabAjI: ladak/I__n
CalaCalA: KA/__v
cAlaDAla: rAw/a__n
calA: KA/__v
cAla: rAw/a__n
CAla: rAw/a__n
CalakA: KA/__v
Calaka: uT/a__v
CalanI: ladak/I__n
calavA: KA/__v
CalAzga: rAw/a__n
CalI: ajAwI/__adj
camacamA: KA/__v
CamaCamA: KA/__v
camakA: KA/__v
Camaka: uT/a__v
camakaxamaka: rAw/a__n
camawkArI: ajAwI/__adj
cAMdAlinI: ladak/I__n
cammaca: rAw/a__n
caMxramOli: SAnwi/__n
caMxramuKI: ajAwI/__adj
caMxravaMSI: ajAwI/__adj
caMxrikA: ASA/__n
CAna: uT/a__v
CanakA: KA/__v
Canaka: uT/a__v
CananI: ladak/I__n
CanavA: KA/__v
CapaCapA: KA/__v
CApa: uT/a__v
CapA: KA/__v
Capaka: uT/a__v
capawa: rAw/a__n
capAwI: ladak/I__n
capeta: uT/a__v
cappala: rAw/a__n
caracarA: KA/__v
carA: KA/__v
caraka: rAw/a__n
caraKI: ladak/I__n
caramarA: KA/__v
cArapAI: ladak/I__n
cAraxIvArI: ladak/I__n
cArI: ladak/I__n
cAta: uT/a__v
catA: KA/__v
catAI: ladak/I__n
catakA: KA/__v
cataKA: KA/__v
catakanI: ladak/I__n
catanI: ladak/I__n
CatapatA: KA/__v
CaTI: ajAwI/__adj
cattAna: rAw/a__n
cattAnI: ajAwI/__adj
cattI: ladak/I__n
CAvanI: ladak/I__n
cavannI: ladak/I__n
Cawa: rAw/a__n
CawarI: ladak/I__n
CAwI: ladak/I__n
CAwravqwwi: Apawwi/__n
cawurWI: ajAwI/__adj
cAxara: rAw/a__n
CaxmaveSI: ajAwI/__adj
caxxara: rAw/a__n
cayanikA: ASA/__n
cAyaxAnI: ladak/I__n
Cazta: uT/a__v
CAzta: uT/a__v
Ceda: uT/a__v
CedaKAnI: ladak/I__n
cekabuka: rAw/a__n
Ceka: uT/a__v
CeMka: uT/a__v
cena: rAw/a__n
CenI: ladak/I__n
Cexa: uT/a__v
ceyara: rAw/a__n
ciDA: KA/__v
Cidaka: uT/a__v
cidI: ladak/I__n
CigunI: ladak/I__n
CI: ladak/I__n
cIja: rAw/a__n
CIja: uT/a__v
cika: rAw/a__n
cIKa: uT/a__v
Cika: uT/a__v
cikanI: ladak/I__n
cIKapukAra: rAw/a__n
cikotI: ladak/I__n
cIla: rAw/a__n
CIla: uT/a__v
cilamacI: ladak/I__n
cilama: rAw/a__n
CilavA: KA/__v
cillAhata: rAw/a__n
cillA: KA/__v
cimanI: ladak/I__n
cimata: uT/a__v
cimatI: ladak/I__n
ciMGAda: uT/a__v
CImI: ladak/I__n
CIMka: uT/a__v
cIMtI: ladak/I__n
cinagArI: ladak/I__n
CinavA: KA/__v
cInI: ajAwI/__adj
CipA: KA/__v
cipakA: KA/__v
CipakalI: ladak/I__n
ciraMjIvI: ajAwI/__adj
cirarogI: ajAwI/__adj
ciraSAMwi: SAnwi/__n
cirasWAyI: ajAwI/__adj
cita: rAw/a__n
citaka: uT/a__v
citTI: ladak/I__n
ciuMtI: ladak/I__n
ciuztI: ladak/I__n
CiwarA: KA/__v
ciwavana: rAw/a__n
cIwkAra: rAw/a__n
ciwwaBrAMwi: SAnwi/__n
ciwwaSuxXi: SAnwi/__n
CixrAnveRI: ajAwI/__adj
CiyAsI: ajAwI/__adj
cOhaxxI: ladak/I__n
CokarI: ladak/I__n
cOKata: rAw/a__n
cOkI: ladak/I__n
ColaxArI: ladak/I__n
colI: ladak/I__n
coMca: rAw/a__n
cOMkA: KA/__v
COMka: uT/a__v
cOMka: uT/a__v
cOMXiyA: KA/__v
copAla: rAw/a__n
cOrAsI: ajAwI/__adj
corI: ladak/I__n
cota: rAw/a__n
CotIbAwa: rAw/a__n
cotI: ladak/I__n
CotIilAyacI: ladak/I__n
cozca: rAw/a__n
CuA: KA/__v
cuBA: KA/__v
CudA: KA/__v
CudavA: KA/__v
cudEla: rAw/a__n
cUdI: ladak/I__n
cUhexAnI: ladak/I__n
cU: C/U__v
CU: C/U__v
cukA: KA/__v
cUka: uT/a__v
cUla: rAw/a__n
cUma: uT/a__v
cumakAra: uT/a__v
cunacunAhata: rAw/a__n
cunarI: ladak/I__n
cunnata: rAw/a__n
cunOwI: ladak/I__n
cupada: uT/a__v
curA: KA/__v
CurI: ladak/I__n
cusA: KA/__v
cusa: uT/a__v
cUsa: uT/a__v
cusakI: ladak/I__n
CUta: uT/a__v
cutakI: ladak/I__n
CuttI: ladak/I__n
cuzXiyA: KA/__v
dabadabA: KA/__v
dADa: rAw/a__n
dADI: ladak/I__n
dagadagA: KA/__v
dagA: KA/__v
dagamagA: KA/__v
dagara: rAw/a__n
DahA: KA/__v
DahavA: KA/__v
DA: KA/__v
DAI: ajAwI/__adj
dAI: ladak/I__n
dAina: rAw/a__n
dAkacOkI: ladak/I__n
dakAra: uT/a__v
Dakela: uT/a__v
dakEwI: ladak/I__n
DAla: uT/a__v
DalakA: KA/__v
Dalaka: uT/a__v
dalavA: KA/__v
dAlI: ladak/I__n
DaMka: uT/a__v
daPalI: ladak/I__n
