Non-Matching Entries:
0~we_hI: None
0~ne_ke_kAraNa: None
yA~hE_usakA: None
0~ne_ke_sivA: None
0~ne_ke_bAxa: None
yA~hE_waba_se: None
yA~jEsA: None
yA~wo: None
yA~binA: None
yA~_bagEra: None
0~ke_pICe_kA{pu._e.}: None
0~ke_pICe_kA{pu._ba.}: None
0~ke_pICe_kA{swrI._e._sajIva._ba.}: None
0~ke_pICe_kA{swrI._ba._-}: None
0~ke_anupasWiwImeM: None
0~ke_piCese: None
meM[ke_maXya]: None
0~ke_meM_kA{pu._e.}: None
0~ke_meM_kA{pu._ba.}: None
0~ke_meM_kA{swrI._e.}: None
0~ke_meM_kA{swrI._ba._-}: None
0~ke_bIcameM{pu._e.}: None
0~ke_bIcameM{pu._ba.}: None
0~ke_bIcameM{swrI._e.}: None
0~ke_bIcameM{swrI._ba._-}: None
0~ke_bIcameM: None
0~ke_bIca_meM_se: None
0~ke_aMxara: None
0~ke_kAraNa_kA{pu._e.}: None
0~ke_kAraNa_kA{pu._ba.}: None
0~ke_kAraNa_kA{swrI._e._sajIva._ba.}: None
0~ke_kAraNa_kA{swrI._ba._-}: None
na+wA~huA{: None
0~ke_najaxIka: None
0~ke_najaxIka_kA{pu._e.}: None
0~ke_najaxIka_kA{pu._ba.}: None
0~ke_najaxIka_kA{swrI._e._sajIva._ba.}: None
najaxIka_kA{swrI._ba._-}: None
0~ke_bAxa: None
0~ke_bAxakA{pu._e.}: None
0~ke_bAxakA{pu._ba.}: None
0~ke_bAxakA{swrI._e._sajIva._ba.}: None
0~ke_bAxakA{swrI._ba._-}: None
0~ne_vAlA: None
nA~vAlA_WA{3_pu._e.2_ba..}: None
nA~vAlA_WA{2_pu._e.}: None
nA~vAlA_WA{2_ba.}: None
nA~vAlA_WA{3_pu._ba.3_na._e.}: None
nA~vAlA_WA{3_swrI._e.3_na._ba.}: None
nA~vAlA_WA{2_swrI._e.}: None
nA~vAlA_WA{1_pu._e.1_ba.}: None
nA~vAlA_WA{3_swrI._ba.}: None
nA~vAlA_nahIM_WA{2_ba.}: None
nA~vAlA_nahIM_WA{2_pu._e.}: None
nA~vAlA_nahIM_WA{3_pu._ba.3_na._e.}: None
nA~vAlA_nahIM_WA: None
nA~vAlA_nahIM_WA{2_swrI._e.}: None
nA~vAlA_nahIM_WA{1_pu._e.1_ba.}: None
nA~vAlA_nahIM_WA{3_swrI._ba.}: None
nA~baMxa: None
se[ne]: None
0~nA: None
0~ke_nikata: None
0~ke_nikata_kA{pu._e.}: None
0~ke_nikata_kA{pu._ba.}: None
0~ke_nikata_kA{swrI._e._sajIva._ba.}: None
0~ke_nikata_kA{swrI._ba._-}: None
0~ke_bahAne: None
0~ke_bahAne_kA{pu._e.}: None
0~ke_bahAne_kA{pu._ba.}: None
0~ke_bahAne_kA{swrI._e._sajIva._ba.}: None
0~ke_bahAne_kA{swrI._ba._-}: None
0~ke_bahAne_se: None
se_alaga: None
se_nirAle_kA{pu._e.}: None
se_nirAle_kA{pu._ba.}: None
se_nirAle_kA{swrI._e._sajIva._ba.}: None
se_nirAle_kA{swrI._ba._-}: None
0~bAra: None
0~jana{~swrI.;saBI}: None
0~jana{swrI.;saBI}: None
0~jana{~swrI.}: None
0~jana{swrI.}: None
pAvane+0: None
sADe+0: None
savA+0: None
0~sO: None
0~vAz{pu._e.}: None
0~vI_bAra: None
0~{swrI._ba._-}: None
0~ke_parekA{pu._e.}: None
0~ke_parekA{pu._ba.}: None
0~ke_parekA{swrI._e._sajIva._ba.}: None
0~ke_parekA{swrI._ba._-}: None
0~ke_pare: None
0~ke_xUsarI_waraPase: None
0~ke_binA: None
0~kI_apekRA: None
0~kI_apekRA_kA{pu._e.}: None
0~kI_apekRA_kA{pu._ba.}: None
0~kI_apekRA_kA{swrI._e._sajIva._ba.}: None
0~kI_apekRA_kA{swrI._ba._-}: None
0~ke_sAmane: None
waka: None
wakakA{pu._e.}: None
wakakA{pu._ba.}: None
wakakA{swrI._e._sajIva._ba.}: None
wakakA{swrI._ba._-}: None
0~ke_pAsa_kA{pu._ba.}: None
0~ke_pAsa_kA{swrI._e._sajIva._ba.}: None
0~ke_pAsa_kA{swrI._ba._-}: None
meM_se: None
meM_sekA{pu._e.}: None
meM_sekA{pu._ba.}: None
meM_sekA{swrI._e._sajIva._ba.}: None
meM_sekA{swrI._ba._-}: None
0~ke_kArana: None
0~ke_kArana_kA{pu._e.}: None
0~ke_kArana_kA{pu._ba.}: None
0~ke_kArana_kA{swrI._e._sajIva._ba.}: None
0~ke_kArana_kA{swrI._ba._-}: None
0~ke_anusAra_kA{pu._e.}: None
0~ke_anusAra_kA{pu._ba.}: None
0~ke_anusAra_kA{swrI._e._sajIva._ba.}: None
0~ke_anusAra_kA{swrI._ba._-}: None
0~kI_waraPa: None
0~ke_prawi: None
0~ke_prawi{pu._e.}: None
0~ke_prawi{pu._ba.}: None
0~ke_prawi{swrI._e.}: None
0~ke_prawi-kA{swrI._ba._-}: None
0~ke_AgekA{pu._e.}: None
0~ke_AgekA{pu._ba.}: None
0~ke_AgekA{swrI._e._sajIva._ba.}: None
0~ke_AgekA{swrI._ba._oblique}: None
0~ke_Age: None
0~ke_sAmanekA{pu._e.}: None
0~ke_Agese: None
0~ke_liye_mAwra: None
0~ke_liye_mAwra{pu._e.}: None
0~ke_liye_mAwra{pu._ba.}: None
0~ke_liye_mAwra{swrI._e.}: None
0~ke_liye_mAwra{swrI._ba._-}: None
0~ke_pUrva: None
0~ke_pUrvakA{pu._e.}: None
0~ke_pUrvakA{pu._ba.}: None
0~ke_pUrvakA{swrI._e._sajIva._ba.}: None
0~ke_pUrvakA{swrI._ba._-}: None
0~ke_cAroMora: None
0~ke_cAroM_orakA{pu._e.}: None
0~ke_cAroM_orakA{pu._ba.}: None
0~ke_cAroM_orakA{swrI._e._sajIva._ba.}: None
0~ke_cAroM_orakA{swrI._ba._-}: None
0~ke_AsapAsakA{pu._e.}: None
0~ke_AsapAsakA{pu._ba.}: None
0~ke_AsapAsakA{swrI._e._sajIva._ba.}: None
0~ke_sahiwa: None
0~ke_sahiwa_kA{pu._e.}: None
0~ke_sahiwa_kA{pu._ba.}: None
0~ke_sahiwa_kA{swrI._e.}: None
0~ke_sahiwa_kA{swrI._ba._-}: None
0~ke_sAWa_kA{pu._e.}: None
0~ke_sAWa{pu._ba.}: None
0~ke_sAWa_kA{swrI._e.}: None
0~ke_sAWa_kA{swrI._ba._-}: None
0~ke_samAna: None
0~ke_samakRa: None
0~ke_samakRakA{pu._e.}: None
0~ke_sAmanekA{pu._ba.}: None
0~ke_samakRakA{swrI._e._sajIva._ba.}: None
0~ke_samakRakA{swrI._ba._-}: None
0~ke_samavewa: None
0~ke_samavewa_kA{pu._e.}: None
0~ke_samavewa_kA{pu._ba.}: None
0~ke_samavewa_kA{swrI._e.}: None
0~ke_samavewa_kA{swrI._ba._-}: None
0~ke_saMbaMXameM: None
0~ke_saMbaMXakA{pu._e.}: None
0~ke_saMbaMXaMkA{pu._ba.}: None
0~ke_saMbaMXakA{swrI._e._sajIva._ba.}: None
0~ke_saMbaMXakA{swrI._ba._-}: None
0~ke_sAWa_kA{pu._ba.}: None
0~ke_sAWa_kA{swrI._ba._-.}: None
0~ke_samIpa: None
0~ke_samIpa_kA{pu._e.}: None
0~ke_samIpa_kA{pu._ba.}: None
0~ke_samIpa_kA{swrI._e._sajIva._ba.}: None
0~ke_samIpa_kA{swrI._ba._-}: None
0~ke_sanniXa: None
0~ke_sanniXa_kA{pu._e.}: None
0~ke_sanniXa_kA{pu._ba.}: None
0~ke_sanniXa_kA{swrI._e._sajIva._ba.}: None
0~ke_sanniXa_kA{swrI._ba._-}: None
ke_sAmane: None
0~ke_sAmane_kA{pu._e.}: None
0~ke_sAmane_kA{pu._ba.}: None
0~ke_sAmane_kA{swrI._e._sajIva._ba.}: None
0~ke_sAmane_kA{swrI._ba._-}: None
0~ke_sAmane_se: None
0~ke_samAna{pu._e.}: None
0~ke_samAna{na._e._pu._ba.}: None
0~ke_jEsA{pu._e.}: None
0~ke_jEse{pu._ba.}: None
0~ke_jEsI{swrI._e.}: None
0~ke_jEsA{swrI._ba._-}: None
0~ke_samAna{swrI._e._na._ba.}: None
0~ke_jEsA{pu._ba.}: None
0~ke_jEsA{swrI._e.}: None
0~ke_samAnaA: None
0~ke_samAna_kA{pu._e.}: None
0~ke_samAna_kA{pu._ba.}: None
0~ke_samAna_kA{swrI._e._sajIva._ba.}: None
0~ke_samAna_kA{swrI._ba._-}: None
0~ke_lie_hE_jo-vaha{pu._e.}: None
0~ke_lie_hE_jo-vaha{pu._ba.}: None
0~ke_lie_hE_jo-vaha{swrI._e.}: None
0~ke_lie_hE_jo-vaha{swrI._ba._-}: None
0~ke_padosa_kA{pu._e.}: None
0~ke_padosa_kA{pu._ba.}: None
0~ke_padosa_kA{swrI._e._sajIva._ba.}: None
0~ke_padosa_kA{swrI._ba._-}: None
0~ke_padosameM: None
0~ke_padosa_se: None
0~kesAWa: None
0~ke_sivAya: None
0~ke_sivAya_kA{pu._e.}: None
0~ke_sivAya_kA{pu._ba.}: None
0~ke_sivAyakA{swrI._e._sajIva._ba.}: None
0~ke_sivAya_kA{swrI._ba._-}: None
meM: None
nA: None
nA~`: None
nA~lagawA_hE{2_ba.}: None
nA~lagawA_hE{3_ba.}: None
nA~lagawA_hE{13_swrI._e._3_na._e.}: None
nA~lagawA_hE{2_swrI._e.}: None
nA~lagawA_hE{13_pu.e._1_ba.}: None
nA~lagawA_hE{2_pu._e.}: None
0~ke_ulatA: None
0~ke_ulata: None
0~ke_ulatI: None
0~[kara]: None
mawa+0{2_ba.}: None
mawa+0{2_pu._e.}: None
0~ke_Upara: None
nA~xe{karwA: +ko}: None
nA~xewA: None
nA~xegA: None
nA~xiyA: None
nA~xe: None
nA~*_xoge: None
future~{+hama}: None
subj: None
para: None
0~ke_UparakA{pu._e.}: None
0~ke_UparakA{pu._ba.}: None
0~ke_UparakA{swrI._e._sajIva._ba.}: None
0~ke_UparakA{swrI._ba._-}: None
0~ke_Uparase: None
subj~EsA: None
0~ke_bajAya{pu._e.}: None
0~ke_bajAya{pu._ba.}: None
0~ke_bajAya{swrI._e.}: None
0~ke_bajAya{swrI._ba._-}: None
yA~jAwA_hE{: None
0~sakawA_hE: None
yA1~karawA_WA: None
nA~vAlA_hE{13_pu._e.}: None
nA~vAlA_hE{2_pu._e.}: None
nA~vAlA_WA{3_pu._e.}: None
nA~vAlA_hE{2_ba.}: None
nA~vAlA_hE{1_ba.}: None
nA~vAlA_WA: None
nA~vAlA_hE{3_swrI._e.3_na._ba.}: None
nA~vAlA_WA{1_e.}: None
nA~vAlA_hE{1_e.}: None
0~ne_[ke_lie]: None
0~ke_binA_kA{pu._e.}: None
0~ke_binA_kA{pu._ba.}: None
0~ke_binA_kA{swrI._e._sajIva._ba.}: None
0~ke_binA_kA{swrI._ba._-}: None
0~ke_bAre_meM{pu._e.}: None
0~ke_bAre_meM{pu._ba.}: None
0~ke_bAre_meM{swrI._e.}: None
0~ke_bAre_meM{swrI._ba._-}: None
0~ke_viroXI: None
0~ke_viroXI_kA{pu._e.}: None
0~ke_viroXI_kA{pu._ba.}: None
0~ke_viroXI_kA{swrI._e._sajIva._ba.}: None
0~ke_viroXI_kA{swrI._ba._-}: None
0~ke_viroXa_meM: None
0~ke_viroXa_kA{pu._e.}: None
0~ke_viroXa_kA{pu._ba.}: None
0~ke_viroXa_kA{swrI._e._sajIva._ba.}: None
0~ke_viroXa_kA{swrI._ba._-}: None
0~ke_alAvA: None
0~ke_alAvA_kA{pu._e.}: None
0~ke_alAvA_kA{pu._ba.}: None
0~ke_alAvA_kA{swrI._e._sajIva._ba.}: None
0~ke_alAvA_kA{swrI._ba._-}: None
wA: kAl/A__adj
0~rahA_hE{2_ba.}: None
0~rahA_hE{13_e.}: None
0~rahA_hE{2_e.}: None
0~rahA_hE{3_ba.}: None
0~rahA_hE{1_ba.}: None
wA~AyA_hE{2_ba.}: None
wA~AyA_hE{3_pu._e.}: None
wA~AyA_hE{2_pu._e.}: None
wA~AyA_hE{13_swrI._e.}: None
wA~AyA__hE{3_swrI._e.3_na._ba.}: None
wA~AyA_hE{3_swrI._e.3_na._ba.}: None
wA~AyA_hE{1_pu._e.1_ba.}: None
wA~AyA_hE{1_ba.}: None
wA~AyA_hE{3_swrI._ba.}_wA~AyA_hE{3_swrI._ba.}_wA~AyA_hE{3_swrI._ba.}: None
0~rahA_hogA{2_pu._e.}: None
yA~karawA_WA{3_ba.}: None
yA~karawA_hE{2_ba.}: None
wA~samaya{1_pu._e.1_ba.}: None
yA~karawA_hE{2_pu._ba.}: None
yA~karawA_hE{1_e.}: None
yA~karawA_hE{13_e.1_ba.}: None
yA~karawA_hE{2_pu._e.}: None
yA~karawA_WA{1_pu._e1_ba.}: None
yA~karawA_WA{1_ba.}: None
0~rahA_hE_Ora{1_pu._e.1_ba.}: None
0~rahA_hE_Pira_BI{1_pu._e.1_ba.}: None
0~rahA_hE_Pira_BI: None
meM_kA{pu._e.}: None
meM_kA{swrI._e._sajIva._ba.}: None
0~ke_waka: None
0~ke_wakakA{pu._e.}: None
0~ke_wakakA{pu._ba.}: None
0~ke_wakakA{swrI._e._sajIva._ba.}: None
0~rahA_WA{2_ba.}: None
0~rahA_WA{2_pu._e.}: None
0~rahA_WA{1_e.}: None
0~rahA_WA{3_swrI._e.3_na._ba.}: None
0~rahA_WA{2_swrI._e.}: None
0~rahA_WA{1_pu._e.1_ba.}: None
0~rahA_WA{3_swrI._ba.}: None
yA~karegA{3_pu._e.}: None
yA~karegA{1_pu._e.1_ba.}: None
wA~jAyegA{2_ba.}: None
wA~jAyegA{2_e.}: None
wA~jAyegA{1_ba.}: None
wA~jAyegA{3_ba.}: None
0~we_samaya: None
nahIM+wA~{~2_e.}: None
nahIM+wA~{2_e.}: None
nahIM+wA~{23_ba.}: None
nahIM+0~rAhA_hogA{3_swrI._ba.}_nahIM+0~rAhA_hogA{3_swrI._ba.}: None
yA~karawA_WA{2_ba.}_yA~karawA_WA{2_ba.}: None
yA~karawA_hE{13_swrI._e.}: None
yA~karawA_hE{1_pu._e.1_ba.}: None
0~rahA_hE_kiMwu{1_pu._e.1_ba.}: None
wA~rahawA_hE{2_pu._e.2_ba..}: None
wA~rahawA_hE{2}: None
wA~rahawA_hE{3_ba.}: None
wA~rahawA_hE{3_swrI._e.3_na._ba.}: None
wA~rahawA_hE{13_swrI._e.}: None
wA~rahawA_hE{2_pu._e.}: None
wA~rahawA_hE{1_pu._e.1_ba.}: None
wA~rahA{3_pu._e.}: None
wA~rahA{2_pu._e.}: None
wA~rahA{2_ba.}: None
wA~rahA{3_pu._ba.3_na._e.}: None
wA~rahA{3_swrI._e.3_na._ba.}: None
wA~rahA{2_swrI._e.}: None
wA~rahA{1_pu._e.1_ba.}: None
wA~rahA{3_swrI._ba.}: None
0~rahA: None
nahIM+0~pA_rahA_hE: None
nA~saMbava_nahIM: None
0~nahIM_sakawA_hE: None
meM~kA: None
wA~hE: None
0~rahA_hE: None
meM~se: None
0~ke_sAmanekA{swrI._e._sajIva._ba.}: None
0~ke_sAmanekA{swrI._ba._-}: None
0~ke_xvArA: None
0~ke_xvArA_kA{pu._e.}: None
0~ke_xvArA_kA{pu._ba.}: None
0~ke_xvArA_kA{swrI._e.}: None
0~ke_vxArA_kA{swrI._ba._-}: None
nA~vAlA_hE{3_pu._e.}: None
nA~vAlA_nahIM_hE{3_pu._e.}: None
0~ne_kA_hE: None
nA~vAlA_nahIM_hE{2_pu._e.2_ba.}: None
ne~vAlA_WA{1_e.}: None
nA~vAlA_hE{1_pu._e.1_ba.}: None
ne~vAlA_WA{1_pu._e.1_ba.}: None
nA~*_nahIM_cAhiye{karwA: +ko}: None
nA~*_cAhiye{karwA: +ko}: None
nA~*_xewA_hE: None
nA~*_xoge{2_swrI._e.}: None
nA~*_xiyA: None
0~ke_kAraNa{pu._e.}: None
0~ke_kAraNa_kA{swrI._e.}: None
0~ke_yogya: None
ne: None
ke liye: None
ke sAWa: None
ke pAsa: None
ke pICe: None
ke Upara: None
ke bAre meM: None
ke xvArA: None
Oura: None
aWavA: None
badZA: kAl/A__adj
camadZA: kAl/A__adj
camadZI: ladak/I__n
AryAvarwa: Karc/a__n
GadZA: kAl/A__adj
ladZA: W/A__v
ladZa: xiK/a__v
ladZakA: kAl/A__adj
padZA: W/A__v
padZa: xiK/a__v
pedZa: rAw/a__n
udZa: xiK/a__v
xo: redio/__n
xOdZA: W/A__v
xOdZa: xiK/a__v
nalasAjI: Axam/I__n
xUra: wIn/a__adj
ganwavya: Gar/a__n
gumA: W/A__v
guma: wIn/a__adj
manxira: rAw/a__n
calaciwra: rAw/a__n
saca: rAw/a__n
manwrI: ladak/I__n
sanwrI: ladak/I__n
tanwrI: Axam/I__n
wIna: rAw/a__n
xasa: rAw/a__n
aBAgA: kAl/A__adj
aBAgI: ajAwI/__adj
aBagna: anek/a__adj
aBAgya: Gar/a__n
abAhya: anek/a__adj
Aba: rAw/a__n
ABA: kAl/A__n
AbakArI: Axam/I__n
aBakRa: Gar/a__n
aBakRaNa: Karc/a__n
aBakRya: wIn/a__adj
aBakwa: wIn/a__adj
abala: wIn/a__adj
abAla: wIn/a__adj
abalA: kAl/A__n
aBaMga: wIn/a__adj
aBaMgapaxa: Gar/a__n
aBaMjana: anek/a__adj
abaMXana: anek/a__adj
ABAra: Gar/a__n
abaraka: Gar/a__n
ABArI: Axam/I__n
aBARiwa: anek/a__adj
AbarU: Al/U__n
aBarwqkA: gudiy/A__n
ABAsa: Gar/a__n
aBAvagraswakRewra: None
aBAva: rAw/a__n
aBAvanA: loh/A__n
aBAvapaxArWa: Gar/a__n
aBAviwa: anek/a__adj
aBavya: wIn/a__adj
aBAvya: anek/a__adj
abAXa: wIn/a__adj
abAXA: kAl/A__n
AbAxa: Gar/a__n
AbAxI: ladak/I__n
abAXiwa: wIn/a__adj
aBaxra: wIn/a__adj
abaxXa: anek/a__adj
AbaxXa: wIn/a__adj
abaXya: anek/a__adj
abAXya: wIn/a__adj
aBaya: wIn/a__adj
aBayamuxrA: gudiy/A__n
aBayaparigraha: None
aBayavacana: Gar/a__n
aBayaxAna: Karc/a__n
abBakRa: wIn/a__adj
abBakRaNa: Karc/a__n
abe: None
aBexa: rAw/a__n
aBexya: anek/a__adj
aBiBARaNa: Gar/a__n
aBiBava: Karc/a__n
aBiBAvaka: rAw/a__n
aBiBUwa: wIn/a__adj
aBicAra: Gar/a__n
aBicAraka: wIn/a__adj
aBigama: Gar/a__n
aBigamana: Gar/a__n
aBiGAwa: Gar/a__n
aBigqhIwa: wIn/a__adj
aBigrahaNa: Gar/a__n
aBihawa: anek/a__adj
aBihiwa: wIn/a__adj
aBihiwAnvayavAxa: Karc/a__n
aBi: Apawwi/__n
aBijana: Gar/a__n
aBijAwa: wIn/a__adj
ABijAwya: Gar/a__n
aBijFa: wIn/a__adj
aBijFA: ASA/__n
aBijFAna: Gar/a__n
aBijFApaka: wIn/a__adj
aBijFAwa: anek/a__adj
aBijiwa: Karc/a__n
aBikaraNa: rAw/a__n
aBikarwwA: gudiy/A__n
aBikoSa: Gar/a__n
aBikramaNa: Karc/a__n
aBikraMxa: None
aBiKyAna: Gar/a__n
aBiKyAwa: anek/a__adj
aBilakRiwa: anek/a__adj
aBilARA: kAl/A__n
aBilaRiwa: wIn/a__adj
aBilAsA: kAl/A__n
aBilAsa: Gar/a__n
aBileKa: rAw/a__n
aBiliKiwa: wIn/a__adj
aBilIna: None
aBimaMwraNa: Gar/a__n
aBimaMwriwa: anek/a__adj
aBimAna: rAw/a__n
aBimanyu: qwu/__n
aBimawa: wIn/a__adj
aBimawi: Apawwi/__n
aBimuKa: wIn/a__adj
ABimuKya: Karc/a__n
aBinaMxa: anek/a__adj
aBinaMxana: Gar/a__n
aBinaMxanIya: wIn/a__adj
aBinaMxiwa: anek/a__adj
aBinaMxya: anek/a__adj
aBinava: wIn/a__adj
aBinaya: Gar/a__n
aBinewA: kAl/A__n
aBiniRkramaNa: Karc/a__n
aBinirxeSa: Gar/a__n
aBiniveSa: Gar/a__n
aBiniveSiwa: anek/a__adj
aBiniviRta: wIn/a__adj
aBinIwa: anek/a__adj
aBinna: wIn/a__adj
aBinnawA: ASA/__n
aBiprAya: rAw/a__n
aBiprewa: wIn/a__adj
aBIpsA: loh/A__n
aBIpsiwa: wIn/a__adj
aBipuRti: Apawwi/__n
abIra: rAw/a__n
ABIra: Gar/a__n
aBirakRaNa: Gar/a__n
abirala: anek/a__adj
aBirAma: anek/a__adj
aBiramaNa: Gar/a__n
aBirawi: Apawwi/__n
aBiRecana: Gar/a__n
aBiReka: Gar/a__n
aBiRikwa: wIn/a__adj
aBIRta: wIn/a__adj
aBIru: None
aBirUpa: wIn/a__adj
aBiSaMkA: gudiy/A__n
aBiSaMsana: Karc/a__n
aBisaMwApa: None
aBisaMXi: Apawwi/__n
aBiSapwa: wIn/a__adj
aBivaMciwa: wIn/a__adj
aBivAMCiwa: anek/a__adj
aBivaMxanA: gudiy/A__n
aBivaMxana: Gar/a__n
aBivaMxanIya: anek/a__adj
aBivaMxiwa: anek/a__adj
aBivaMxya: anek/a__adj
aBivqwwi: Apawwi/__n
aBivqxXi: Apawwi/__n
